Date,Tax_day,Reserves,weekday_0,weekday_3,lag_1,lag_7,rmse,sin_value
2017-01-09,1,1743.3,1.0,0.0,0.0,0.0,0.13452616347736177,-0.15527284152164209
2017-01-10,0,1743.3,0.0,0.0,-0.1559036386263838,0.0,0.10419465875856897,-0.12524238287737333
2017-01-11,0,1743.3,0.0,0.0,-0.12557213390759098,0.0,0.029144071769290767,0.007766518540289703
2017-01-12,0,1743.3,0.0,1.0,0.0077665966202687545,0.0,0.8217682460966944,0.7176282888628248
2017-01-13,1,1743.3,0.0,0.0,0.8003907709476724,0.0,0.0016563444692932888,-0.019719852371051425
2017-01-14,0,1743.3,0.0,0.0,-0.019721130679728725,0.0,0.021377475149022013,0.0
2017-01-15,0,1743.3,0.0,0.0,0.0,0.0,0.021377475149022013,0.0
2017-01-16,1,1743.3,1.0,0.0,0.0,-0.1559036386263838,0.07937390127949762,0.057963918942203985
2017-01-17,0,1743.3,0.0,0.0,0.0579964261304756,-0.12557213390759098,0.5271410604160282,-0.5214236710529299
2017-01-18,1,1743.3,0.0,0.0,-0.5485185355650501,0.0077665966202687545,0.10342384047288847,-0.12447759674927175
2017-01-19,0,1743.3,0.0,1.0,-0.12480131562191048,0.8003907709476724,0.015986773449015026,-0.005390675591380833
2017-01-20,1,1743.3,0.0,0.0,-0.005390701700006988,-0.019721130679728725,0.09252275589227348,-0.11365411447378511
2017-01-21,0,1743.3,0.0,0.0,-0.11390023104129549,0.0,0.021377475149022013,0.0
2017-01-22,0,1743.3,0.0,0.0,0.0,0.0,0.021377475149022013,0.0
2017-01-23,0,1743.3,1.0,0.0,0.0,0.0579964261304756,0.08796854905483638,-0.10912825417778856
2017-01-24,0,1743.3,0.0,0.0,-0.10934602420385839,-0.5485185355650501,0.09475343944143733,0.07331013892358455
2017-01-25,1,1743.3,0.0,0.0,0.07337596429241532,-0.12480131562191048,0.09238509718834381,-0.11351734666973297
2017-01-26,0,1743.3,0.0,1.0,-0.11376257233736582,-0.005390701700006988,0.11268616756446535,-0.1336624144592119
2017-01-27,1,1743.3,0.0,0.0,-0.13406364271348736,-0.11390023104129549,0.17710600305821686,-0.19718281058748446
2017-01-28,0,1743.3,0.0,0.0,-0.19848347820723888,0.0,0.021377475149022013,0.0
2017-01-29,0,1743.3,0.0,0.0,0.0,0.0,0.021377475149022013,0.0
2017-01-30,1,1743.3,1.0,0.0,0.0,-0.10934602420385839,0.13332526429594818,-0.15408639561864604
2017-01-31,1,1743.3,0.0,0.0,-0.1547027394449702,0.07337596429241532,0.005622469020348665,-0.026996663809291815
2017-02-01,1,1743.3,0.0,0.0,-0.02699994416937068,-0.11376257233736582,0.11468611943242404,0.09317330454687642
2017-02-02,0,1743.3,0.0,1.0,0.09330864428340203,-0.13406364271348736,0.10469352105828109,0.0832196887548479
2017-02-03,0,1743.3,0.0,0.0,0.08331604590925908,-0.19848347820723888,0.028168674084440928,0.006791146733423327
2017-02-04,0,1743.3,0.0,0.0,0.006791198935418914,0.0,0.021377475149022013,0.0
2017-02-05,0,1743.3,0.0,0.0,0.0,0.0,0.021377475149022013,0.0
2017-02-06,0,1743.3,1.0,0.0,0.0,-0.1547027394449702,0.010904765258973149,-0.032276633581435114
2017-02-07,0,1743.3,0.0,0.0,-0.03228224040799516,-0.02699994416937068,0.01991181617932859,-0.041277560625959483
2017-02-08,0,1874.4,0.0,0.0,-0.0412892913283506,0.09330864428340203,0.2183212398172962,0.19567309351329867
2017-02-09,0,1874.4,0.0,1.0,0.19694376466827418,0.08331604590925908,0.4560583039275336,0.42112093308783527
2017-02-10,0,1874.4,0.0,0.0,0.4346808287785116,0.006791198935418914,0.20493035950391267,0.18252391899286585
2017-02-11,0,1874.4,0.0,0.0,0.18355288435489064,0.0,0.021377475149022013,0.0
2017-02-12,0,1874.4,0.0,0.0,0.0,0.0,0.021377475149022013,0.0
2017-02-13,0,1874.4,1.0,0.0,0.0,-0.03228224040799516,0.16909241270208106,-0.1893203059698227
2017-02-14,1,1874.4,0.0,0.0,-0.19046988785110308,-0.0412892913283506,0.06480029560009018,-0.08607114226180952
2017-02-15,1,1874.4,0.0,0.0,-0.08617777074911219,0.19694376466827418,0.05554802446636045,0.03416389996606915
2017-02-16,0,1874.4,0.0,1.0,0.034170549317338435,0.4346808287785116,0.29147256990931697,0.2668230850450342
2017-02-17,0,1874.4,0.0,0.0,0.270095094760295,0.18355288435489064,0.10546386566309573,0.08398733643945469
2017-02-18,0,1874.4,0.0,0.0,0.08408639051407372,0.0,0.021377475149022013,0.0
2017-02-19,0,1874.4,0.0,0.0,0.0,0.0,0.021377475149022013,0.0
2017-02-20,1,1874.4,1.0,0.0,0.0,-0.19046988785110308,0.003381043132526327,-0.02475598892887178
2017-02-21,0,1874.4,0.0,0.0,-0.02475851828154834,-0.08617777074911219,0.15244640537165902,0.1306939788329126
2017-02-22,0,1874.4,0.0,0.0,0.131068930222637,0.034170549317338435,0.04413299654131485,0.022753557589478963
2017-02-23,0,1874.4,0.0,1.0,0.022755521392292838,0.270095094760295,0.021377475149022013,0.0
2017-02-24,0,1874.4,0.0,0.0,0.0,0.08408639051407372,0.0744709832025612,0.05306856717187664
2017-02-25,0,1874.4,0.0,0.0,0.05309350805353918,0.0,0.021377475149022013,0.0
2017-02-26,0,1874.4,0.0,0.0,0.0,0.0,0.021377475149022013,0.0
2017-02-27,1,1874.4,1.0,0.0,0.0,-0.02475851828154834,0.09748468022678933,-0.11858246806841162
